country_id,name
1,Afghanistan
2,Albania
3,Algeria
4,Angola
5,Argentina
6,Armenia
7,Australia
8,Austria
9,Azerbaijan
10,Bahamas
11,Bangladesh
12,Belarus
13,Belgium
14,Bermuda
15,Botswana
16,Brazil
17,Bulgaria
18,Burkina Faso
19,Cambodia
20,Cameroon
21,Canada
22,Cayman Islands
23,Chile
24,China
25,Colombia
26,Croatia
27,Cuba
28,Cyprus
29,Czech Republic
30,Denmark
31,Dominican Republic
32,East Germany
33,Ecuador
34,Egypt
35,Ethiopia
36,Finland
37,France
38,Georgia
39,Germany
40,Ghana
41,Greece
42,Guatemala
43,Hong Kong
44,Hungary
45,Iceland
46,India
47,Indonesia
48,Iran
49,Iraq
50,Ireland
51,Israel
52,Italy
53,Jamaica
54,Japan
55,Jordan
56,Kazakhstan
57,Kenya
58,Kuwait
59,Latvia
60,Lebanon
61,Liechtenstein
62,Lithuania
63,Luxembourg
64,Malawi
65,Malaysia
66,Malta
67,Mauritius
68,Mexico
69,Mongolia
70,Montenegro
71,Morocco
72,Mozambique
73,Namibia
74,Nepal
75,Netherlands
76,New Zealand
77,Nicaragua
78,Nigeria
79,Norway
80,Pakistan
81,Palestine
82,Panama
83,Paraguay
84,Peru
85,Philippines
86,Poland
87,Portugal
88,Puerto Rico
89,Qatar
90,Romania
91,Russia
92,Samoa
93,Saudi Arabia
94,Senegal
95,Serbia
96,Singapore
97,Slovakia
98,Slovenia
99,Somalia
100,South Africa
101,South Korea
102,Soviet Union
103,Spain
104,Sri Lanka
105,Sudan
106,Sweden
107,Switzerland
108,Syria
109,Taiwan
110,Thailand
111,Turkey
112,Uganda
113,Ukraine
114,United Arab Emirates
115,United Kingdom
116,United States
117,Unknown
118,Uruguay
119,Vatican City
120,Venezuela
121,Vietnam
122,West Germany
123,Zimbabwe
